PROJECT_NUMBER,PROJECT_EN,DEVELOPER_NUMBER,DEVELOPER_EN,START_DATE,END_DATE,ADOPTION_DATE,PRJ_TYPE_EN,PROJECT_VALUE,ESCROW_ACCOUNT_NUMBER,PROJECT_STATUS,PERCENT_COMPLETED,INSPECTION_DATE,COMPLETION_DATE,DESCRIPTION_EN,AREA_EN,ZONE_EN,CNT_LAND,CNT_BUILDING,CNT_VILLA,CNT_UNIT,MASTER_PROJECT_EN
"3060","butterfly","1259","DESERT FALCON REAL ESTATE DEVELOPMENT L.L.C","2025-01-01 00:00:00","2029-01-31 00:00:00","2024-08-29 12:12:44","Normal","186199391","0205191459202","ACTIVE","0","2024-06-13 08:26:46","","B+G+2P+17,The project designed to have a concrete structure and block with internal and external finishes.","Al Barshaa South Third","Dubai Development Authority (DDA)","0","0","0","468",""
"3138","South Garden A","1233","JAG DEVELOPMENT L.L.C","2025-01-01 00:00:00","2027-12-31 00:00:00","2004-09-17 00:00:00","Normal","188636080","0205256550218","ACTIVE","0","2024-07-23 15:38:03","","B+G+2 Podium+12 Floors Residential & commercial building","Jabal Ali First","","0","0","0","260",""
"3140","South Garden B","1233","JAG DEVELOPMENT L.L.C","2025-01-01 00:00:00","2027-12-31 00:00:00","2004-09-17 00:00:00","Normal","188636080","0205256550216","ACTIVE","0","2024-07-23 15:42:12","","B+G+2 Podium+12 Floors Residential & commercial building","Jabal Ali First","","0","0","0","258",""
"3141","South Garden C","1233","JAG DEVELOPMENT L.L.C","2025-01-01 00:00:00","2027-12-31 00:00:00","2004-09-17 00:00:00","Normal","188636080","0205256550214","ACTIVE","0","2024-07-23 15:44:40","","B+G+2 Podium+12 Floors Residential & commercial building","Jabal Ali First","","0","0","0","258",""
"3154","Vincitore Aqua Flora","1949","VINCITORE LUXURY REAL ESTATE DEVELOPMENT L.L.C","2025-01-01 00:00:00","2028-06-30 00:00:00","2024-09-23 13:19:30","Normal","210000000","019500000662","ACTIVE","0","2024-07-03 10:44:39","2028-06-30 00:00:00","G+4P+15+Roof Retail, Residential Building ","Al Barshaa South Second","Dubai Development Authority (DDA)","0","0","0","546",""
"3209","LAZORD BY LAPIS","1927","LAPIS PROPERTIES L.L.C","2025-01-01 00:00:00","2026-12-31 00:00:00","2024-09-03 20:51:05","Normal","60000000","019000084536","ACTIVE","0","2024-07-26 12:17:55","","RESIDENTIAL & COMMERCIAL BUILDING (B+G+3P+8) ","Wadi Al Safa 3","Dubai Development Authority (DDA)","0","0","0","213",""
"3218","Rome by SD","1688","SAMANA STAR REAL ESTATE DEVELOPMENT L.L.C","2025-01-01 00:00:00","2027-12-31 00:00:00","2024-11-04 12:41:01","Normal","22000000","1009718337","ACTIVE","0","2024-08-05 15:48:33","","B+G+5+R
","Wadi Al Safa 3","Dubai Municipality","0","0","0","42",""
"3245","Golf Grove by Regent","1995","REGENT STAR PROPERTY DEVELOPMENTS L.L.C","2025-01-02 00:00:00","2028-01-02 00:00:00","","Normal","30000000","","PENDING","0","2025-01-08 19:05:07","","G+2P+7+R","Me'Aisem First","","1","0","0","0",""
"3255","BELLARIA","1211","EMAAR DEVELOPMENT P.J.S.C.","2025-01-25 00:00:00","2029-05-31 00:00:00","2024-08-29 14:33:04","Normal","696958024","10653441920049","ACTIVE","0","2024-08-20 19:45:10","","Residential Development Consisting of 494 townhouses (G+1) and 146 semi detached units (G+2)
","Al Yelayiss 5","Dubai Municipality","0","0","640","0",""
"3258","GHARBI II RESIDENCES","1533","RABDAN REAL ESTATE DEVELOPMENT L.L.C","2025-01-21 00:00:00","2027-07-20 00:00:00","","Normal","135525443","","PENDING","0","2024-08-29 14:55:40","","G+2P+round floor + 2 podium + 12 Floors+ 4 Retail. 
Consist of studio with balcony= 138 rooms, 1 bedroom + balcony and pool=112 rooms, 2 bedroom duplex and pool=6 rooms,2 bedrooms + balcony and pool =24 rooms and 3 bedroom with balcony and pool = 4rooms Total of 288 rooms
","Al Barsha South Fourth","","0","0","0","236",""
